#SNPs per gene	 # genes in bin	 mean of the bin 	 sd of the bin 
[1]	228	2.93486659583	4.16116177381
[2]	418	3.16458240532	5.03687006259
[3]	386	3.4569056136	5.66038128997
[4]	561	3.08401993655	4.74969129102
[5]	424	3.01510155499	4.70899450443
[6]	662	2.64854755011	4.09456417349
[7]	448	2.80184478733	4.28851031231
[8]	656	3.03808556999	5.19459832439
[9]	518	3.26023983905	4.60746500587
[10]	623	3.28869153945	4.79872508476
[11]	498	3.71344612729	4.97826819824
[12]	659	3.46885718091	5.30276524365
[13]	479	3.11114516347	4.93388768923
[14]	612	3.17952989791	4.72670291371
[15]	450	3.28306174145	5.20667238146
[16]	568	3.60486997536	5.14576360779
[17]	430	3.56000032017	5.26101519446
[18]	555	3.26205098779	4.74022041342
[19]	362	3.55107708353	4.64507509847
[20]	466	2.97539537112	3.47386481121
[21]	360	3.77659178316	5.25323071042
[22]	435	3.2374246164	4.74167852032
[23]	312	3.76823767099	5.64289208232
[24]	371	3.75921621601	5.88589960314
[25]	318	3.78804188855	4.58577703294
[26]	346	4.05068659742	5.55695198371
[27]	274	3.38897905778	4.56335988855
[28]	323	4.08525070076	5.78921761725
[29]	242	3.83977698157	5.09566809339
[30]	313	3.62830712575	4.45461111015
[31]	240	4.40360126131	5.79227844757
[32]	284	4.22930581556	5.05643524742
[33]	223	3.55562625054	4.55626319901
[34]	248	4.41772946992	6.08220855862
[35]	193	3.80520942715	4.42874935885
[36]	234	3.81127633627	4.55674925291
[37]	183	4.20616460826	5.11249550501
[38]	224	4.01289977639	4.63795480598
[39]	179	4.11608451092	4.39134589319
[40]	183	4.3852037692	7.16274562663
[41]	160	3.36934427616	4.09828913091
[42]	176	4.32657781098	5.1264030911
[43]	144	5.07320165723	7.52036103439
[44]	173	4.02238726148	4.80297656693
[45]	138	4.33685324666	5.45082151054
[46]	165	3.76976904586	3.83716236614
[47]	122	3.88841785585	4.01739153383
[48]	154	4.34526509798	5.66411862268
[49]	118	4.58214464709	6.38721721203
[50]	150	3.69830526148	4.36976785904
[51]	118	4.03748317634	4.15816440872
[52]	133	4.15443955255	4.19871062713
[53]	114	3.43936603211	3.30160327284
[54]	123	4.71707816252	6.59786866972
[55]	87	3.67732656132	4.88593314081
[56]	105	4.53198403503	6.9361029953
[57]	93	4.94883633498	5.68085350712
[58]	118	4.35695668404	4.33843589674
[59]	104	4.64421275162	3.82154034656
[60]	96	4.5399217959	5.83104413152
[61]	85	4.87509437621	4.71708612663
[62]	101	3.63983352129	3.60841509992
[63]	73	4.61828540569	4.59012590002
[64]	74	5.32801000685	6.98726950447
[65]	78	3.74949222853	3.38788463585
[66]	83	4.11351210807	3.87584761394
[67]	81	5.5953650299	6.79751394498
[68]	83	5.26938331436	5.88746896192
[69]	78	5.33169021654	6.27760781568
[70]	73	6.27839562915	7.3349989121
[71]	68	4.36276603442	5.45903161506
[72]	71	4.75405055608	4.41722194573
[73]	64	4.41555151842	3.60389513209
[74]	73	6.04983270653	7.3295152498
[75]	76	4.22871198037	4.31799749742
[76]	63	4.58539438993	4.19878128717
[77]	50	5.99267346823	8.51779142727
[78]	53	3.6969156761	3.46029454768
[79]	58	3.78366580521	3.11854561393
[80]	55	4.46418111676	4.49226723601
[81]	48	3.93850132491	2.96273952463
[82]	44	5.20108335578	4.94938452058
[83]	56	4.46514570514	3.9582105877
[84]	47	4.55425797379	5.1461663161
[85]	49	5.3147777348	4.72334548372
[86]	41	4.80343813675	4.08561626831
[87]	44	4.85869876294	4.29324426965
[88]	48	6.05744766236	6.78296561781
[89]	32	4.3313002033	5.28133101712
[90]	46	4.62278906183	4.97175098737
[91]	34	4.8054072569	3.97897274818
