Length	ID	Pvalue
31	106537	0.0
118	96530	0.0
94	167324	0.002
32	160998	0.001
29	106430	0.004
14	187172	0.003
171	83089	0.006
51	82956	0.011
88	193328	0.009
52	119304	0.0
34	82998	0.01
30	106444	0.014
20	83112	0.021
47	82994	0.016
33	143700	0.022
13	161072	0.024
23	149806	0.03
42	187208	0.024
28	82978	0.03
16	106179	0.025
11	83004	0.036
38	83099	0.027
70	172847	0.015
40	187191	0.031
35	106407	0.033
238	106196	0.039
28	82977	0.027
26	106110	0.029
40	106114	0.035
28	161005	0.059
26	82986	0.021
41	106381	0.031
16	106173	0.065
26	106231	0.057
76	83071	0.068
12	83088	0.032
16	161070	0.081
15	169356	0.078
18	119527	0.085
23	82935	0.071
14	106374	0.087
36	83125	0.079
24	105895	0.089
28	187220	0.105
29	187102	0.098
35	106573	0.105
49	105979	0.102
27	114228	0.114
15	119553	0.082
15	106460	0.102
30	105678	0.111
29	106247	0.121
26	187197	0.122
18	83007	0.124
28	83014	0.122
18	83041	0.113
43	106553	0.122
30	106562	0.113
12	83075	0.129
21	105689	0.132
41	82991	0.136
14	82990	0.136
15	142283	0.135
23	119533	0.151
21	160994	0.149
15	106370	0.176
118	83097	0.177
36	83060	0.149
15	83119	0.183
52	105811	0.204
15	83084	0.178
167	119550	0.205
25	187178	0.051
12	119525	0.157
14	83094	0.212
25	82988	0.211
74	198774	0.206
17	106336	0.159
13	83015	0.21
19	83081	0.109
122	106513	0.145
17	373900	0.037
66	83030	0.228
21	82964	0.228
13	105703	0.16
125	187193	0.235
35	377262	0.229
22	105778	0.235
17	[105960, 105959]	0.254
29	83120	0.264
92	187196	0.275
27	193146	0.229
70	105815	0.261
21	83058	0.272
34	83052	0.249
22	152665	0.263
50	83069	0.279
30	106327	0.288
87	177876	0.269
18	105907	0.307
46	106413	0.299
14	106193	0.294
13	187217	0.298
45	106050	0.314
75	119549	0.333
13	83096	0.317
33	82979	0.326
14	114227	0.156
12	83047	0.307
82	119544	0.296
24	160999	0.247
20	83090	0.258
35	83038	0.348
12	169354	0.354
40	169352	0.332
20	169347	0.318
18	83062	0.255
35	106485	0.326
35	187104	0.345
32	160140	0.377
35	117291	0.363
36	105904	0.372
22	83079	0.394
21	169353	0.394
18	104488	0.345
31	83098	0.377
25	83044	0.397
98	125136	0.388
23	[205107, 187082]	0.4
20	187106	0.398
19	83072	0.399
56	83048	0.365
20	105903	0.385
14	161067	0.387
14	106170	0.41
26	82975	0.398
15	83022	0.42
18	83043	0.43
30	82957	0.445
43	119546	0.444
44	119559	0.453
356	105938	0.465
29	83055	0.324
87	161012	0.463
16	114229	0.395
16	169346	0.421
25	83073	0.433
30	105952	0.477
18	106557	0.295
13	82974	0.486
29	83031	0.492
18	82959	0.363
15	83021	0.49
38	83063	0.485
25	105721	0.497
52	187211	0.476
20	106010	0.159
15	122191	0.519
19	83100	0.514
37	153910	0.534
13	105908	0.546
70	83077	0.53
79	83051	0.537
15	83064	0.473
15	83067	0.51
29	169351	0.513
12	106262	0.552
15	106111	0.587
23	105983	0.568
63	102279	0.581
58	99052	0.403
35	106160	0.56
17	106034	0.557
21	83020	0.604
32	83061	0.595
24	83105	0.5
19	106150	0.613
15	82949	0.606
11	106266	0.604
13	83018	0.626
288	105937	0.613
41	106510	0.163
15	161048	0.241
43	105812	0.344
23	83122	0.462
50	83056	0.643
15	105648	0.622
26	82989	0.653
14	82937	0.673
25	106439	0.718
21	161075	0.625
44	83065	0.653
51	106503	0.68
38	106572	0.602
24	198759	0.585
27	106169	0.724
11	199556	0.728
22	106250	0.697
53	83036	0.725
16	153376	0.727
11	83039	0.766
21	83057	0.78
53	106358	0.765
28	83053	0.658
48	82944	0.713
15	82946	0.72
15	106136	0.797
62	160976	0.747
16	160941	0.793
14	106043	0.835
14	[106400, 106398]	0.833
12	217173	0.771
28	131226	0.881
12	373901	0.933
14	160942	0.952
197	106386	0.951
12	83025	0.974
52	167325	0.979
12	106062	0.98
59	106230	0.989
379	83087	0.995
