PathID	Pathway_Length	P_value	Q_value
106537	519	0.0	0.0
161033	522	0.0	0.0
[106537, 106536]	11	0.0	0.0
119304	11	0.001	0.0738636363636
160998	11	0.001	0.0738636363636
96530	11	0.001	0.0738636363636
[106430, 106428]	11	0.001	0.0738636363636
[160998, 160997]	11	0.001	0.0738636363636
106513	11	0.002	0.118181818182
[106426, 106424]	11	0.002	0.118181818182
161034	11	0.003	0.118181818182
161035	11	0.003	0.118181818182
167324	11	0.003	0.118181818182
83086	11	0.003	0.118181818182
[106426, 106424, 106420]	11	0.003	0.118181818182
126909	11	0.004	0.131313131313
187172	11	0.004	0.131313131313
375172	11	0.004	0.131313131313
161036	11	0.005	0.134297520661
198774	11	0.005	0.134297520661
83067	11	0.005	0.134297520661
83094	11	0.005	0.134297520661
106427	11	0.006	0.141818181818
106430	11	0.006	0.141818181818
83089	11	0.006	0.141818181818
106419	11	0.007	0.147727272727
106426	11	0.007	0.147727272727
161037	11	0.007	0.147727272727
