Chr	GeneID	Start	End	Symbol
1	643643	3411	6658	LOC643643
1	728439	15003	19498	LOC728439
1	79501	69091	70008	OR4F5
1	645543	81085	136791	LOC645543
1	100132632	87523	90233	LOC100132632
1	653341	217813	218635	LOC653341
1	643698	308989	316715	LOC643698
1	440550	319141	426351	LOC440550
1	100288609	327461	329281	LOC100288609
1	100288646	329790	342507	LOC100288646
1	653345	356729	358460	LOC653345
1	729759	450740	451678	OR4F29
1	440551	534556	536540	LOC440551
1	643788	544632	555827	LOC643788
1	100287654	647187	659924	LOC100287654
1	728534	674315	680197	LOC728534
1	81399	685716	686654	OR4F16
1	388578	703961	735768	LOC388578
1	100288100	753386	755217	LOC100288100
1	728550	829609	843821	LOC728550
1	100128838	855601	856492	LOC100128838
1	728559	884524	885834	LOC728559
1	728578	925348	928665	LOC728578
1	148398	925741	944581	SAMD11
1	26155	944203	959299	NOC2L
1	339451	960587	965719	KLHL17
1	84069	966492	975108	PLEKHN1
1	84808	975199	982093	PERM1
1	57801	998962	1001224	HES4
1	9636	1013467	1014540	ISG15
1	375790	1020123	1056119	AGRN
1	401934	1071746	1074307	RNF223
1	54991	1081818	1116361	C1orf159
1	254173	1173906	1197935	TTLL10
1	8784	1203508	1206709	TNFRSF18
1	7293	1211326	1214168	TNFRSF4
1	51150	1216908	1232067	SDF4
1	126792	1232249	1235041	B3GALT6
1	388581	1242446	1246722	FAM132A
1	118424	1253912	1273854	UBE2J2
1	6339	1280436	1292029	SCNN1D
1	101929103	1284829	1288669	LOC101929103
1	100288202	1288801	1290515	LOC100288202
1	116983	1292384	1307924	ACAP3
1	126789	1308582	1311677	PUSL1
1	54973	1311585	1324687	CPSF3L
1	80772	1324756	1328896	GLTPD1
1	83756	1330852	1334464	TAS1R3
1	1855	1335278	1349117	DVL1
1	54587	1352689	1363541	MXRA8
1	54998	1373730	1375438	AURKAIP1
1	81669	1385711	1399338	CCNL2
1	55052	1401896	1407313	MRPL20
1	441869	1418420	1421444	ANKRD65
1	643965	1426128	1427787	TMEM88B
1	64856	1435523	1442882	VWA1
1	219293	1449689	1470158	ATAD3C
1	83858	1471759	1509472	ATAD3B
